query,clicks_28d,impressions_28d,ctr_28d,position_28d,clicks_previous_28d,impressions_previous_28d,current_ranking_url,preferred_target_url,action,opportunity_score,priority,evidence
hair fall treatment doctor,0,5,0.00,3.40,0,3,,,REVIEW,25,P3,Google Search Console export; no external search volume used
how many prp sessions are needed for hair growth,0,5,0.00,1.00,0,12,,,REVIEW,25,P3,Google Search Console export; no external search volume used
painless wart,0,5,0.00,2.00,0,3,,,REVIEW,25,P3,Google Search Console export; no external search volume used
can hair be transplanted from body to head,0,5,0.00,63.60,0,3,,,REVIEW,25,P3,Google Search Console export; no external search volume used
anti acne treatment,0,5,0.00,72.40,0,5,,,REVIEW,25,P3,Google Search Console export; no external search volume used
hair transplant from body hair,0,5,0.00,77.20,0,12,,,REVIEW,25,P3,Google Search Console export; no external search volume used
early scarring alopecia,0,5,0.00,90.80,0,5,,,REVIEW,25,P3,Google Search Console export; no external search volume used
best hair dermatologist in bhubaneswar,1,11,9.09,3.91,1,19,,,REVIEW,23,P3,Google Search Console export; no external search volume used
best dermatologist for hair in bhubaneswar,1,9,11.11,2.56,0,1,,,REVIEW,22,P3,Google Search Console export; no external search volume used
glutathione iv drip bhubaneswar,1,7,14.29,3.00,0,4,,,REVIEW,21,P3,Google Search Console export; no external search volume used
